side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_pct,pnl_amount,balance_before,balance_after,exit_reason,market_regime,risk_percentage
BUY,2025-01-04 17:00:00,96929.0,2025-01-05 02:00:00,98519.0,0.001083267133675164,4.921127835838604,5.167184227630533,10000.0,10005.16718422763,Reverse Signal,ranging,0.35
SELL,2025-01-05 03:00:00,98990.0,2025-01-07 14:00:00,100325.3,0.001061261293407315,-4.046772401252661,-4.251306615260372,10005.16718422763,10000.91587761237,Reverse Signal,ranging,0.35
BUY,2025-01-07 15:00:00,98275.5,2025-01-08 02:00:00,96200.1,0.0010685228435869559,-6.335454920097056,-6.652836928741085,10000.91587761237,9994.263040683629,Reverse Signal,ranging,0.35
SELL,2025-01-08 03:00:00,95510.1,2025-01-09 04:00:00,95379.0,0.002354420301260093,0.4117889102828051,0.9259935044856358,9994.263040683629,9995.189034188115,Reverse Signal,trending,0.75
BUY,2025-01-09 05:00:00,95456.1,2025-01-14 04:00:00,95650.0,0.0010994528883850815,0.6093900756473212,0.6395517451735827,9995.189034188115,9995.828585933288,Reverse Signal,ranging,0.35
SELL,2025-01-14 07:00:00,96464.0,2025-01-14 12:00:00,96769.4,0.0010880349161583546,-0.9497843755183101,-0.9968575901842656,9995.828585933288,9994.831728343104,Reverse Signal,ranging,0.35
SELL,2025-01-15 03:00:00,99500.1,2025-01-16 15:00:00,97735.9,0.0010547299263779894,5.3191906339792965,5.582263608348184,9994.831728343104,10000.413991951453,Reverse Signal,ranging,0.35
SELL,2025-01-17 02:00:00,100237.0,2025-01-19 00:00:00,112532.7,0.001047560750176983,-36.79988427426997,-38.64147814785338,10000.413991951453,9961.7725138036,Stop Loss,ranging,0.35
BUY,2025-01-19 01:00:00,106570.0,2025-01-19 22:00:00,97999.9,0.002103217430426771,-24.125269775734274,-54.07435110150145,9961.7725138036,9907.6981627021,Stop Loss,trending,0.75
SELL,2025-01-19 23:00:00,96889.4,2025-01-20 06:00:00,106000.0,0.002300800796173753,-28.209277795094224,-62.88502720086183,9907.6981627021,9844.813135501237,Stop Loss,trending,0.75
SELL,2025-01-21 05:00:00,100912.2,2025-01-22 16:00:00,101097.6,0.0021950596216193667,-0.5511722071266172,-1.2208921615447492,9844.813135501237,9843.592243339692,Reverse Signal,trending,0.75
BUY,2025-01-22 18:00:00,101020.0,2025-01-24 11:00:00,105214.9,0.0010231411458628663,12.457632152049083,12.875924378340397,9843.592243339692,9856.468167718032,Reverse Signal,ranging,0.35
SELL,2025-01-24 12:00:00,105820.0,2025-01-24 22:00:00,106500.0,0.0009780090319508534,-1.9278019278019278,-1.9951384251797408,9856.468167718032,9854.473029292853,Reverse Signal,ranging,0.35
BUY,2025-01-27 05:00:00,103000.0,2025-01-27 08:00:00,99971.1,0.0010045822020152907,-8.82203883495144,-9.128337095052323,9854.473029292853,9845.3446921978,Reverse Signal,ranging,0.35
SELL,2025-01-27 12:00:00,99820.0,2025-01-30 23:00:00,103800.0,0.0022191971105434832,-11.961530755359647,-26.497213499889185,9845.3446921978,9818.84747869791,Reverse Signal,trending,0.75
BUY,2025-02-01 00:00:00,103489.9,2025-02-03 01:00:00,94653.1,0.0009962121765150806,-25.616412809365908,-26.409983284285357,9818.84747869791,9792.437495413624,Stop Loss,ranging,0.35
SELL,2025-02-03 02:00:00,96084.4,2025-02-03 21:00:00,101871.0,0.002293086532744197,-18.06724088405612,-39.80752359113276,9792.437495413624,9752.629971822491,Reverse Signal,trending,0.75
BUY,2025-02-03 22:00:00,101060.0,2025-02-04 16:00:00,103481.5,0.002171325691331942,7.18830397783495,15.773595484680895,9752.629971822491,9768.403567307172,Reverse Signal,trending,0.75
SELL,2025-02-07 17:00:00,100828.4,2025-02-07 22:00:00,97629.0,0.0010172554305803254,9.519341772754487,9.763821073796061,9768.403567307172,9778.167388380969,Reverse Signal,ranging,0.35
BUY,2025-02-08 21:00:00,97843.9,2025-02-10 11:00:00,100387.4,0.001049332227946762,7.798646619768837,8.006929565347768,9778.167388380969,9786.174317946317,Reverse Signal,ranging,0.35
SELL,2025-02-10 12:00:00,102085.4,2025-02-12 03:00:00,98000.0,0.0010065575521909728,12.00583041257612,12.336570671162985,9786.174317946317,9798.51088861748,Reverse Signal,ranging,0.35
BUY,2025-02-13 06:00:00,97300.0,2025-02-15 15:00:00,98666.0,0.0010573932613615986,4.211716341212744,4.333197585059831,9798.51088861748,9802.84408620254,Reverse Signal,ranging,0.35
