side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_pct,pnl_amount,balance_before,balance_after,exit_reason,market_regime,risk_percentage
SELL,2025-02-11 05:00:00,2718.84,2025-02-12 23:00:00,2735.88,0.07723882243898131,-1.8802136205146271,-3.9484486030807155,10000.0,9996.051551396919,Reverse Signal,ranging,0.7
BUY,2025-02-13 00:00:00,2727.33,2025-02-14 16:00:00,2740.47,0.16493138703892135,1.445369647237394,6.501595277074217,9996.051551396919,10002.553146673992,Reverse Signal,trending,1.5
SELL,2025-02-14 17:00:00,2774.43,2025-02-16 18:00:00,2680.45,0.07571054814147547,10.162087347671417,21.345831943007596,10002.553146673992,10023.898978617,Reverse Signal,ranging,0.7
BUY,2025-02-16 20:00:00,2670.59,2025-02-22 15:00:00,2777.61,0.07882223724006943,12.022062540487306,25.30666748829669,10023.898978617,10049.205646105298,Reverse Signal,ranging,0.7
BUY,2025-02-22 16:00:00,2774.85,2025-02-23 07:00:00,2826.44,0.16296890068823122,5.577598789123752,25.222696759517614,10049.205646105298,10074.428342864816,Reverse Signal,trending,1.5
BUY,2025-02-24 03:00:00,2719.11,2025-02-24 15:00:00,2658.03,0.13338166545050895,-6.738969736421101,-24.440856377151235,10074.428342864816,10049.987486487666,Reverse Signal,quiet,1.2
SELL,2025-02-24 16:00:00,2660.46,2025-02-24 22:00:00,2524.87,0.16998918867111135,15.289461220991877,69.14650227574805,10049.987486487666,10119.133988763413,Reverse Signal,trending,1.5
SELL,2025-02-24 23:00:00,2511.3,2025-02-26 13:00:00,2414.15,0.1813248235950916,11.605542945884611,52.8471198367895,10119.133988763413,10171.981108600203,Reverse Signal,trending,1.5
BUY,2025-02-26 16:00:00,2400.16,2025-02-26 18:00:00,2285.72,0.08899890144015576,-14.30404639690688,-30.555102842434295,10171.981108600203,10141.426005757769,Reverse Signal,ranging,0.7
SELL,2025-02-26 19:00:00,2296.08,2025-02-27 16:00:00,2295.15,0.1987579571526687,0.12151144559420876,0.5545347004558481,10141.426005757769,10141.980540458224,Reverse Signal,trending,1.5
BUY,2025-02-27 20:00:00,2261.61,2025-02-28 02:00:00,2169.43,0.09417255466221969,-12.227572393118216,-26.04247826629031,10141.980540458224,10115.938062191934,Reverse Signal,ranging,0.7
