open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1733551200000,1.205,1.2157,1.2026,1.2069,5180352.9,1733554799999,6266299.52892,14342,2380376.5,2880363.80576,0,2024-12-07 06:00:00
1733554800000,1.207,1.2147,1.2001,1.2094,7252905.9,1733558399999,8757962.87443,20103,3903480.8,4713863.54653,0,2024-12-07 07:00:00
1733558400000,1.2095,1.217,1.2045,1.205,6691702.9,1733561999999,8101901.79974,20002,2878643.2,3484429.25185,0,2024-12-07 08:00:00
1733562000000,1.2051,1.2147,1.2002,1.202,6957606.9,1733565599999,8399588.22567,19934,3399137.8,4103543.70246,0,2024-12-07 09:00:00
1733565600000,1.202,1.2062,1.1881,1.1958,9056377.7,1733569199999,10829533.39768,25252,4296189.2,5139086.08883,0,2024-12-07 10:00:00
1733569200000,1.1959,1.2108,1.195,1.206,6418874.5,1733572799999,7724973.576,17729,3583758.2,4311035.0218,0,2024-12-07 11:00:00
1733572800000,1.206,1.2112,1.2027,1.2077,4193222.5,1733576399999,5062721.66148,14042,2010199.8,2427448.30332,0,2024-12-07 12:00:00
1733576400000,1.2076,1.214,1.2032,1.2067,5390205.4,1733579999999,6514937.85143,17020,2926620.7,3538071.63506,0,2024-12-07 13:00:00
1733580000000,1.2066,1.214,1.1976,1.2118,7158976.2,1733583599999,8637289.87027,18608,3134322.8,3784666.99981,0,2024-12-07 14:00:00
1733583600000,1.2118,1.22,1.2074,1.2194,10653639.9,1733587199999,12942176.61657,29768,5861458.3,7122847.73251,0,2024-12-07 15:00:00
1733587200000,1.2194,1.228,1.2035,1.2075,13902156.0,1733590799999,16922612.71335,45025,7178439.2,8741407.77541,0,2024-12-07 16:00:00
1733590800000,1.2076,1.2085,1.194,1.1972,8313682.1,1733594399999,9985558.68005,25278,4224740.7,5075338.69272,0,2024-12-07 17:00:00
1733594400000,1.1972,1.2133,1.1968,1.2127,5804456.5,1733597999999,6990731.9182,17934,3062871.8,3688013.64889,0,2024-12-07 18:00:00
1733598000000,1.2127,1.2166,1.1995,1.2081,7837513.2,1733601599999,9457569.29841,22185,3442351.5,4152523.4736,0,2024-12-07 19:00:00
1733601600000,1.2082,1.216,1.2078,1.2116,5941092.3,1733605199999,7201338.28325,18131,2975848.7,3606761.04003,0,2024-12-07 20:00:00
1733605200000,1.2116,1.212,1.2017,1.2019,4252914.7,1733608799999,5127672.39768,15106,2237751.1,2697586.63726,0,2024-12-07 21:00:00
1733608800000,1.2019,1.2068,1.2001,1.2006,3650076.8,1733612399999,4390178.29331,10425,1997660.7,2402956.18831,0,2024-12-07 22:00:00
1733612400000,1.2006,1.2188,1.2003,1.2103,5554990.3,1733615999999,6733745.14404,20409,2607872.4,3160845.89035,0,2024-12-07 23:00:00
1733616000000,1.2103,1.2168,1.2021,1.2137,4886447.0,1733619599999,5909340.51304,25016,2301264.7,2781184.24045,0,2024-12-08 00:00:00
1733619600000,1.2137,1.224,1.2055,1.2078,8562970.4,1733623199999,10422675.17374,29092,3682223.3,4484164.74206,0,2024-12-08 01:00:00
1733623200000,1.2078,1.2191,1.2016,1.2143,7361734.4,1733626799999,8905522.24803,20398,4533655.3,5482117.69772,0,2024-12-08 02:00:00
1733626800000,1.2142,1.2224,1.2083,1.2084,5637033.7,1733630399999,6855502.56898,17176,2905700.0,3533276.50743,0,2024-12-08 03:00:00
1733630400000,1.2084,1.2141,1.2003,1.2013,8078581.1,1733633999999,9735550.11462,24429,4393280.9,5293929.04333,0,2024-12-08 04:00:00
1733634000000,1.2013,1.2036,1.1823,1.1859,25206574.5,1733637599999,30111512.41531,46068,10920595.5,13051243.47176,0,2024-12-08 05:00:00
1733637600000,1.1859,1.1967,1.1797,1.1965,13268662.9,1733641199999,15776260.44694,25723,8213490.6,9767178.60077,0,2024-12-08 06:00:00
1733641200000,1.1966,1.206,1.1947,1.2022,5424384.2,1733644799999,6514648.28,14836,2684711.5,3223854.04398,0,2024-12-08 07:00:00
1733644800000,1.2023,1.2044,1.1793,1.1794,11065214.8,1733648399999,13184087.61766,28878,4593773.8,5475663.27972,0,2024-12-08 08:00:00
1733648400000,1.1794,1.1973,1.1723,1.1814,10474211.6,1733651999999,12393000.37952,32598,5785204.1,6842587.22137,0,2024-12-08 09:00:00
1733652000000,1.1815,1.206,1.1815,1.2058,9473535.9,1733655599999,11336019.88735,24763,4753047.9,5691357.6251,0,2024-12-08 10:00:00
1733655600000,1.2058,1.22,1.2026,1.2073,23979627.0,1733659199999,29025453.48155,51031,10367429.2,12552843.43025,0,2024-12-08 11:00:00
1733659200000,1.2073,1.2091,1.1969,1.2075,7446351.0,1733662799999,8957040.96404,27669,3644164.9,4382584.86689,0,2024-12-08 12:00:00
1733662800000,1.2074,1.2164,1.2039,1.2154,7672202.1,1733666399999,9298486.78899,20423,4154848.8,5035716.19486,0,2024-12-08 13:00:00
1733666400000,1.2154,1.2157,1.186,1.189,13810238.8,1733669999999,16572368.41201,30819,5297097.1,6348797.47614,0,2024-12-08 14:00:00
1733670000000,1.1892,1.1963,1.18,1.1875,20294908.4,1733673599999,24075056.51857,49550,10488310.9,12442547.85948,0,2024-12-08 15:00:00
1733673600000,1.1876,1.1956,1.1813,1.1847,10806641.7,1733677199999,12830635.02538,24807,5769725.0,6852148.89454,0,2024-12-08 16:00:00
1733677200000,1.1847,1.1933,1.1804,1.1924,8110472.9,1733680799999,9625454.01075,18281,4603270.4,5463368.79176,0,2024-12-08 17:00:00
1733680800000,1.1924,1.1943,1.1794,1.1795,10492535.5,1733684399999,12431833.92524,20712,4975134.6,5897321.8865,0,2024-12-08 18:00:00
1733684400000,1.1795,1.1849,1.1754,1.182,16089978.4,1733687999999,18982365.17029,26547,7884501.9,9306434.38611,0,2024-12-08 19:00:00
1733688000000,1.1819,1.1831,1.1764,1.1779,9561849.1,1733691599999,11282225.42805,16403,4613406.6,5443570.43842,0,2024-12-08 20:00:00
1733691600000,1.1779,1.1839,1.1744,1.1837,8621933.0,1733695199999,10155328.48012,16308,3066119.7,3613706.24097,0,2024-12-08 21:00:00
1733695200000,1.1837,1.1925,1.1808,1.1915,4169089.5,1733698799999,4947117.90988,11967,2217205.4,2631666.13783,0,2024-12-08 22:00:00
1733698800000,1.1915,1.1988,1.1873,1.1936,5152990.4,1733702399999,6143824.31772,16944,2594567.9,3093271.33367,0,2024-12-08 23:00:00
1733702400000,1.1936,1.1936,1.1651,1.1733,14464634.3,1733705999999,17009416.73252,43950,6893874.4,8109726.76858,0,2024-12-09 00:00:00
1733706000000,1.1732,1.1826,1.1658,1.1675,7530155.0,1733709599999,8834297.72154,26318,3096334.1,3635254.1233,0,2024-12-09 01:00:00
