open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1733551200000,51.81,52.26,51.73,52.18,59525.94,1733554799999,3093965.1493,10056,27324.46,1420737.7062,0,2024-12-07 06:00:00
1733554800000,52.17,52.2,51.2,51.49,72582.12,1733558399999,3748088.0161,16249,26694.07,1377162.9611,0,2024-12-07 07:00:00
1733558400000,51.49,51.77,51.26,51.6,64308.21,1733561999999,3311556.0217,13255,29429.47,1516214.3644,0,2024-12-07 08:00:00
1733562000000,51.61,52.05,51.59,51.89,78172.45,1733565599999,4056503.7312,16732,48048.33,2492915.0866,0,2024-12-07 09:00:00
1733565600000,51.88,51.9,51.48,51.72,60236.16,1733569199999,3113986.1091,13946,29046.11,1502017.6405,0,2024-12-07 10:00:00
1733569200000,51.72,52.38,51.63,52.25,85011.28,1733572799999,4418326.0802,16272,45265.82,2353891.6957,0,2024-12-07 11:00:00
1733572800000,52.26,52.27,51.89,52.02,57792.95,1733576399999,3007937.5959,12730,29398.32,1530482.2714,0,2024-12-07 12:00:00
1733576400000,52.03,52.3,51.78,52.18,76665.47,1733579999999,3987767.8849,11690,36561.77,1902319.9984,0,2024-12-07 13:00:00
1733580000000,52.18,52.6,51.56,52.57,127487.14,1733583599999,6639604.0082,20742,65719.29,3424914.12,0,2024-12-07 14:00:00
1733583600000,52.57,52.73,52.07,52.51,107595.07,1733587199999,5638212.5974,18912,59672.91,3126578.3749,0,2024-12-07 15:00:00
1733587200000,52.52,52.71,52.12,52.2,75043.47,1733590799999,3933067.2099,14180,31813.83,1668057.7062,0,2024-12-07 16:00:00
1733590800000,52.2,52.28,51.69,51.9,71125.25,1733594399999,3693654.7357,13426,28091.05,1458780.0375,0,2024-12-07 17:00:00
1733594400000,51.9,53.05,51.87,52.84,143732.6,1733597999999,7558840.3213,19413,92303.99,4855690.3741,0,2024-12-07 18:00:00
1733598000000,52.85,53.08,52.07,52.21,93979.18,1733601599999,4931738.8851,17503,39320.15,2064237.9842,0,2024-12-07 19:00:00
1733601600000,52.21,52.63,52.08,52.1,70269.7,1733605199999,3673839.9352,12176,28303.17,1480752.9307,0,2024-12-07 20:00:00
1733605200000,52.11,52.26,51.74,51.83,116551.32,1733608799999,6060214.4888,16354,41976.5,2182897.7216,0,2024-12-07 21:00:00
1733608800000,51.84,51.99,51.57,51.57,59134.99,1733612399999,3061150.1781,10493,30814.71,1595689.3355,0,2024-12-07 22:00:00
