open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1733551200000,10.503,10.747,10.486,10.64,417319.03,1733554799999,4444832.68552,11425,219498.81,2336960.47357,0,2024-12-07 06:00:00
1733554800000,10.639,10.641,10.406,10.503,568536.08,1733558399999,5969590.28642,11809,351846.19,3692847.05519,0,2024-12-07 07:00:00
1733558400000,10.502,10.576,10.42,10.428,629864.34,1733561999999,6606323.67897,10580,309600.83,3246883.46028,0,2024-12-07 08:00:00
1733562000000,10.428,10.498,10.381,10.42,443470.29,1733565599999,4627642.98429,9380,194414.75,2029352.16711,0,2024-12-07 09:00:00
1733565600000,10.42,10.458,10.306,10.383,345531.42,1733569199999,3583549.57036,10343,183565.43,1903112.1503,0,2024-12-07 10:00:00
1733569200000,10.383,10.53,10.353,10.442,339536.7,1733572799999,3547800.9045,8718,157731.23,1648248.5044,0,2024-12-07 11:00:00
1733572800000,10.444,10.577,10.423,10.555,336323.01,1733576399999,3535254.30647,8121,195547.46,2055311.61605,0,2024-12-07 12:00:00
1733576400000,10.553,10.638,10.488,10.614,803259.62,1733579999999,8500554.31546,14628,456788.93,4833587.20061,0,2024-12-07 13:00:00
1733580000000,10.613,10.782,10.556,10.708,652271.51,1733583599999,6964603.46953,14882,340806.22,3638847.90766,0,2024-12-07 14:00:00
1733583600000,10.71,10.838,10.662,10.756,843707.8,1733587199999,9082800.8523,16282,458794.29,4938999.88582,0,2024-12-07 15:00:00
1733587200000,10.757,10.838,10.627,10.799,705836.65,1733590799999,7587894.69783,17570,347224.63,3733269.50591,0,2024-12-07 16:00:00
1733590800000,10.798,10.882,10.511,10.552,748021.87,1733594399999,7998108.71997,19693,340521.86,3643092.88715,0,2024-12-07 17:00:00
1733594400000,10.55,10.832,10.549,10.822,497895.18,1733597999999,5328135.27872,14332,249899.3,2673807.53516,0,2024-12-07 18:00:00
1733598000000,10.821,10.928,10.66,10.678,674306.68,1733601599999,7290810.92431,17774,313073.71,3384709.94635,0,2024-12-07 19:00:00
1733601600000,10.678,10.782,10.664,10.703,485955.48,1733605199999,5207448.37014,9275,237806.43,2547976.2887,0,2024-12-07 20:00:00
1733605200000,10.703,10.765,10.601,10.641,334514.48,1733608799999,3570099.09503,12484,168605.28,1799343.37433,0,2024-12-07 21:00:00
1733608800000,10.644,10.655,10.544,10.546,382976.91,1733612399999,4057082.35114,8262,185222.2,1962421.73038,0,2024-12-07 22:00:00
1733612400000,10.543,10.7,10.541,10.592,389173.66,1733615999999,4140932.46026,8321,199151.56,2117518.46637,0,2024-12-07 23:00:00
1733616000000,10.592,10.781,10.544,10.721,401696.3,1733619599999,4288767.84927,10792,205888.45,2198026.95395,0,2024-12-08 00:00:00
1733619600000,10.718,10.8,10.645,10.672,439577.44,1733623199999,4724079.28219,8981,259073.38,2786380.65876,0,2024-12-08 01:00:00
1733623200000,10.672,10.713,10.629,10.636,162037.23,1733626799999,1727617.32058,5021,76166.87,812107.47934,0,2024-12-08 02:00:00
1733626800000,10.635,10.674,10.571,10.572,169837.13,1733630399999,1803421.81065,4910,77479.78,822861.74384,0,2024-12-08 03:00:00
1733630400000,10.571,10.624,10.448,10.448,380950.02,1733633999999,4005709.48351,11506,163284.55,1716946.533,0,2024-12-08 04:00:00
1733634000000,10.449,10.475,10.363,10.414,391365.08,1733637599999,4076940.84772,10210,168942.28,1760116.79916,0,2024-12-08 05:00:00
1733637600000,10.415,10.475,10.345,10.474,286464.56,1733641199999,2981684.41602,7485,120892.99,1260082.54712,0,2024-12-08 06:00:00
1733641200000,10.474,10.562,10.467,10.47,215113.87,1733644799999,2260835.0509,8195,109081.62,1146525.3724,0,2024-12-08 07:00:00
1733644800000,10.471,10.48,10.255,10.259,526912.84,1733648399999,5458786.64746,13093,266575.92,2762812.74576,0,2024-12-08 08:00:00
1733648400000,10.259,10.368,10.19,10.242,396391.4,1733651999999,4076772.99407,11764,175513.94,1807706.45991,0,2024-12-08 09:00:00
1733652000000,10.245,10.421,10.24,10.414,321115.87,1733655599999,3322862.79502,8489,184279.49,1906790.67535,0,2024-12-08 10:00:00
1733655600000,10.413,10.498,10.371,10.458,419744.81,1733659199999,4385818.90555,8386,233022.88,2436134.07116,0,2024-12-08 11:00:00
1733659200000,10.458,10.461,10.1,10.439,643455.18,1733662799999,6664728.22278,13854,237981.31,2471552.53186,0,2024-12-08 12:00:00
1733662800000,10.439,10.55,10.415,10.544,407048.61,1733666399999,4275248.56095,12405,207321.91,2177358.67585,0,2024-12-08 13:00:00
1733666400000,10.543,10.546,10.384,10.386,330714.86,1733669999999,3465428.5955,6934,134144.32,1406610.04751,0,2024-12-08 14:00:00
1733670000000,10.387,10.41,10.278,10.339,1012169.06,1733673599999,10461228.77763,15455,571611.33,5906086.74716,0,2024-12-08 15:00:00
1733673600000,10.34,10.407,10.258,10.283,794931.14,1733677199999,8203773.94725,15580,463636.81,4784632.56162,0,2024-12-08 16:00:00
1733677200000,10.284,10.361,10.22,10.355,637968.23,1733680799999,6563141.03023,14310,383637.19,3946023.26676,0,2024-12-08 17:00:00
1733680800000,10.356,10.374,10.26,10.276,234032.97,1733684399999,2413466.8114,7057,120126.34,1238907.81531,0,2024-12-08 18:00:00
1733684400000,10.276,10.325,10.241,10.307,381277.57,1733687999999,3920589.91476,8507,219173.41,2253844.03483,0,2024-12-08 19:00:00
1733688000000,10.312,10.328,10.242,10.272,172755.61,1733691599999,1775879.68099,5633,89038.56,915244.51261,0,2024-12-08 20:00:00
1733691600000,10.273,10.35,10.252,10.336,474122.44,1733695199999,4888745.68584,7889,314750.41,3245558.17349,0,2024-12-08 21:00:00
1733695200000,10.335,10.42,10.301,10.416,475855.73,1733698799999,4928755.97558,9036,287926.29,2982377.41382,0,2024-12-08 22:00:00
1733698800000,10.415,10.438,10.325,10.392,261439.16,1733702399999,2713813.28562,7481,145332.63,1508915.76407,0,2024-12-08 23:00:00
1733702400000,10.393,10.397,10.15,10.204,529375.3,1733705999999,5429438.7154,15122,263499.97,2704223.89186,0,2024-12-09 00:00:00
1733706000000,10.206,10.296,10.163,10.178,239745.65,1733709599999,2449803.31963,6907,106725.44,1091020.89274,0,2024-12-09 01:00:00
1733709600000,10.177,10.245,10.073,10.145,480804.51,1733713199999,4878729.24119,10102,208655.17,2118826.59743,0,2024-12-09 02:00:00
1733713200000,10.145,10.218,9.885,10.052,603936.24,1733716799999,6069064.90865,15564,249979.16,2513682.39601,0,2024-12-09 03:00:00
1733716800000,10.052,10.116,9.925,10.112,444354.56,1733720399999,4457653.02994,11161,209610.56,2103346.88469,0,2024-12-09 04:00:00
1733720400000,10.111,10.152,10.074,10.117,189217.38,1733723999999,1915023.46979,4676,83948.9,849724.39009,0,2024-12-09 05:00:00
1733724000000,10.118,10.12,9.896,9.935,394827.25,1733727599999,3935287.29063,12058,185863.63,1852622.48935,0,2024-12-09 06:00:00
1733727600000,9.934,9.94,9.708,9.873,1176875.38,1733731199999,11541287.41827,26565,497866.15,4884678.88261,0,2024-12-09 07:00:00
1733731200000,9.874,9.875,9.515,9.547,1279827.96,1733734799999,12370540.30356,28542,502256.03,4856445.58384,0,2024-12-09 08:00:00
1733734800000,9.547,9.685,9.412,9.501,1438487.62,1733738399999,13721524.13639,30867,695987.46,6640809.56803,0,2024-12-09 09:00:00
1733738400000,9.502,9.675,9.502,9.666,888488.17,1733741999999,8529296.9811,14996,445559.18,4276623.54386,0,2024-12-09 10:00:00
1733742000000,9.666,9.668,9.4,9.456,821446.05,1733745599999,7832626.63185,16901,414548.55,3956557.73199,0,2024-12-09 11:00:00
1733745600000,9.452,9.589,9.358,9.586,675032.98,1733749199999,6411575.72443,17313,365621.29,3475605.31991,0,2024-12-09 12:00:00
1733749200000,9.586,9.753,9.512,9.67,843107.47,1733752799999,8163151.99721,17262,474494.68,4594191.0019,0,2024-12-09 13:00:00
1733752800000,9.671,9.842,9.586,9.818,651026.63,1733756399999,6323759.13917,14159,354798.67,3447026.70478,0,2024-12-09 14:00:00
1733756400000,9.818,9.836,9.434,9.497,1107272.45,1733759999999,10617132.91904,24239,486913.08,4666069.45657,0,2024-12-09 15:00:00
1733760000000,9.499,9.647,9.442,9.551,794267.19,1733763599999,7589210.62601,14496,413309.44,3950970.33016,0,2024-12-09 16:00:00
1733763600000,9.551,9.665,9.488,9.491,424840.24,1733767199999,4068518.20178,8835,240043.22,2299055.24325,0,2024-12-09 17:00:00
1733767200000,9.492,9.612,9.492,9.559,416601.88,1733770799999,3982345.60483,7364,258813.48,2473034.54006,0,2024-12-09 18:00:00
1733770800000,9.559,9.584,9.481,9.492,331172.41,1733774399999,3154845.52798,8022,162150.62,1544661.03462,0,2024-12-09 19:00:00
1733774400000,9.49,9.523,8.571,8.786,4121610.24,1733777999999,37205802.09965,113586,1740882.32,15713077.22582,0,2024-12-09 20:00:00
1733778000000,8.785,9.92,7.5,8.396,5745027.0,1733781599999,48378220.28771,149684,3042379.97,25774129.44034,0,2024-12-09 21:00:00
1733781600000,8.396,8.514,7.6,8.503,5039411.34,1733785199999,41173815.9063,120650,2554467.41,20898739.69685,0,2024-12-09 22:00:00
1733785200000,8.5,8.598,8.332,8.468,1919305.68,1733788799999,16287173.06965,37409,1081040.32,9176728.41372,0,2024-12-09 23:00:00
1733788800000,8.468,8.718,8.308,8.603,1585714.04,1733792399999,13525835.86224,34469,854512.54,7290325.3329,0,2024-12-10 00:00:00
1733792400000,8.603,8.667,8.411,8.585,781946.34,1733795999999,6672459.12389,18554,385053.76,3286209.01427,0,2024-12-10 01:00:00
1733796000000,8.585,8.587,8.252,8.252,846986.27,1733799599999,7125540.20298,19339,373000.67,3138719.89877,0,2024-12-10 02:00:00
1733799600000,8.253,8.348,7.933,8.322,2348768.99,1733803199999,19102743.37778,48954,1169403.44,9510171.68417,0,2024-12-10 03:00:00
1733803200000,8.322,8.435,8.103,8.428,926402.42,1733806799999,7681751.74719,21856,470177.23,3899906.5944,0,2024-12-10 04:00:00
1733806800000,8.429,8.593,8.378,8.561,953213.79,1733810399999,8102826.54683,18617,516547.15,4393262.93641,0,2024-12-10 05:00:00
1733810400000,8.561,8.661,8.494,8.619,619846.66,1733813999999,5329742.72003,14585,322539.51,2773804.85499,0,2024-12-10 06:00:00
1733814000000,8.618,8.625,8.484,8.576,489375.93,1733817599999,4184025.15396,11210,221346.72,1892795.05992,0,2024-12-10 07:00:00
1733817600000,8.576,8.619,8.458,8.593,497554.22,1733821199999,4252791.01597,11191,257396.4,2200373.80801,0,2024-12-10 08:00:00
1733821200000,8.592,8.683,8.48,8.554,663111.66,1733824799999,5693755.43789,14988,297852.66,2558410.93131,0,2024-12-10 09:00:00
1733824800000,8.554,8.704,8.552,8.661,555226.84,1733828399999,4794489.25488,10693,267875.32,2313904.80645,0,2024-12-10 10:00:00
1733828400000,8.664,8.697,8.569,8.645,588048.97,1733831999999,5081224.44822,10404,311043.04,2688555.99222,0,2024-12-10 11:00:00
1733832000000,8.645,8.667,8.219,8.266,1150271.43,1733835599999,9658573.3971,23165,525321.12,4412729.45533,0,2024-12-10 12:00:00
1733835600000,8.267,8.468,8.259,8.376,726535.04,1733839199999,6078928.13184,16199,367493.92,3074379.20246,0,2024-12-10 13:00:00
1733839200000,8.375,8.536,8.325,8.374,793994.3,1733842799999,6697835.69001,20049,383029.16,3231165.6606,0,2024-12-10 14:00:00
