open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1733554800000,137.15,137.43,135.83,136.94,32507.362,1733558399999,4441167.10468,10640,13667.827,1866482.17683,0,2024-12-07 07:00:00
1733558400000,136.95,138.42,135.93,136.67,47886.539,1733561999999,6573398.6581,13572,21247.598,2918141.17134,0,2024-12-07 08:00:00
1733562000000,136.65,138.4,136.52,137.59,34547.763,1733565599999,4758656.92983,11454,21438.321,2953284.67201,0,2024-12-07 09:00:00
1733565600000,137.59,138.67,135.32,136.9,33711.051,1733569199999,4617023.05796,11883,16485.01,2260076.49147,0,2024-12-07 10:00:00
1733569200000,136.91,138.3,136.79,137.61,39265.123,1733572799999,5401733.50515,12038,22773.431,3132583.46229,0,2024-12-07 11:00:00
1733572800000,137.62,137.62,136.29,137.04,20336.264,1733576399999,2782729.86164,6695,10078.024,1378691.30922,0,2024-12-07 12:00:00
1733576400000,137.03,138.66,136.89,137.59,42332.564,1733579999999,5833702.29018,12372,21064.967,2903850.58586,0,2024-12-07 13:00:00
1733580000000,137.56,137.74,135.61,136.65,47239.272,1733583599999,6449524.56012,13714,20121.849,2747516.78012,0,2024-12-07 14:00:00
1733583600000,136.64,137.46,135.94,137.25,30629.568,1733587199999,4185934.09444,9589,14681.754,2007047.21927,0,2024-12-07 15:00:00
1733587200000,137.25,137.49,135.01,135.34,33117.726,1733590799999,4499792.98104,10948,15136.515,2056990.69738,0,2024-12-07 16:00:00
1733590800000,135.34,135.44,131.76,132.71,117686.474,1733594399999,15721981.21098,28963,47724.397,6370445.23913,0,2024-12-07 17:00:00
1733594400000,132.7,134.31,132.68,134.01,32891.799,1733597999999,4387095.43891,10091,18393.969,2453475.29279,0,2024-12-07 18:00:00
1733598000000,134.0,134.61,133.39,133.63,32744.484,1733601599999,4388570.42952,10923,15736.274,2109188.71738,0,2024-12-07 19:00:00
1733601600000,133.64,134.84,133.52,134.06,23225.608,1733605199999,3116761.61983,7533,10246.551,1375763.64379,0,2024-12-07 20:00:00
1733605200000,134.07,134.37,132.69,132.84,21124.482,1733608799999,2819832.69809,7439,7718.883,1030884.65821,0,2024-12-07 21:00:00
1733608800000,132.84,133.53,132.2,132.9,21525.148,1733612399999,2857965.6845,7669,10854.461,1440524.96471,0,2024-12-07 22:00:00
1733612400000,132.88,134.25,132.75,133.79,19219.084,1733615999999,2568385.69995,6946,11757.147,1571396.55372,0,2024-12-07 23:00:00
1733616000000,133.79,134.5,132.84,133.71,36942.09,1733619599999,4943298.60817,9294,17598.536,2355436.47165,0,2024-12-08 00:00:00
1733619600000,133.7,134.46,133.43,133.71,17215.431,1733623199999,2306833.75618,6212,7854.724,1052759.92563,0,2024-12-08 01:00:00
1733623200000,133.71,134.41,133.0,133.93,15856.759,1733626799999,2120740.55536,6310,7678.569,1026833.02674,0,2024-12-08 02:00:00
1733626800000,133.96,135.1,133.85,133.99,17194.81,1733630399999,2312796.93518,6549,7868.794,1058707.95965,0,2024-12-08 03:00:00
1733630400000,133.98,134.5,132.64,132.78,26785.35,1733633999999,3579605.90456,8509,13343.551,1783844.47031,0,2024-12-08 04:00:00
1733634000000,132.76,133.08,131.02,131.74,47219.683,1733637599999,6231236.02636,12617,22971.543,3032559.96979,0,2024-12-08 05:00:00
1733637600000,131.74,132.41,130.91,132.32,22482.694,1733641199999,2961587.63674,7668,8831.622,1163884.79492,0,2024-12-08 06:00:00
1733641200000,132.32,133.09,132.18,132.5,16425.493,1733644799999,2180527.04366,7436,7469.058,991703.1431,0,2024-12-08 07:00:00
1733644800000,132.51,132.59,130.29,130.35,45727.943,1733648399999,6008285.46299,12542,18537.538,2436451.02347,0,2024-12-08 08:00:00
1733648400000,130.33,132.17,130.08,130.88,35792.567,1733651999999,4690351.22645,11078,18802.124,2464675.24767,0,2024-12-08 09:00:00
1733652000000,130.91,133.86,130.91,132.86,30733.221,1733655599999,4074144.20706,9615,14828.051,1965380.56489,0,2024-12-08 10:00:00
1733655600000,132.85,133.36,132.0,132.76,30506.025,1733659199999,4048893.53089,8530,13167.836,1747386.84487,0,2024-12-08 11:00:00
1733659200000,132.76,134.99,131.69,134.7,45352.036,1733662799999,6042641.3641,14397,26231.363,3496762.47641,0,2024-12-08 12:00:00
1733662800000,134.7,135.0,134.05,134.61,31658.914,1733666399999,4258616.9116,9958,16587.241,2231438.00819,0,2024-12-08 13:00:00
1733666400000,134.58,134.62,132.96,133.1,23726.222,1733669999999,3178262.63483,7651,9555.169,1279976.71352,0,2024-12-08 14:00:00
1733670000000,133.1,134.93,132.57,134.37,25313.683,1733673599999,3388294.58512,9208,13988.363,1873063.10692,0,2024-12-08 15:00:00
1733673600000,134.37,134.57,132.76,133.21,24397.883,1733677199999,3259467.38365,8426,11080.166,1480369.61444,0,2024-12-08 16:00:00
1733677200000,133.22,133.99,132.55,133.82,20398.801,1733680799999,2719858.62259,7087,8865.13,1182880.65704,0,2024-12-08 17:00:00
1733680800000,133.82,134.11,132.43,132.44,17915.022,1733684399999,2386521.30519,7420,8187.15,1091893.89958,0,2024-12-08 18:00:00
1733684400000,132.42,133.54,131.8,133.41,21046.4,1733687999999,2790274.90387,7350,10830.655,1435879.38128,0,2024-12-08 19:00:00
1733688000000,133.43,133.7,132.98,133.1,12375.802,1733691599999,1650599.99745,5506,5820.932,776389.30054,0,2024-12-08 20:00:00
1733691600000,133.1,133.5,132.57,133.4,13641.393,1733695199999,1814921.37034,5033,6517.132,866895.10966,0,2024-12-08 21:00:00
1733695200000,133.39,135.9,133.09,134.72,30077.13,1733698799999,4049616.8843,10901,15687.613,2112851.46406,0,2024-12-08 22:00:00
1733698800000,134.72,135.41,134.27,134.91,25099.855,1733702399999,3380453.7523,7977,15886.612,2139109.95511,0,2024-12-08 23:00:00
1733702400000,134.91,135.07,131.22,131.88,35641.954,1733705999999,4721767.79233,14228,14243.882,1887301.87364,0,2024-12-09 00:00:00
1733706000000,131.88,132.83,130.94,131.15,29397.76,1733709599999,3873084.8369,9312,12488.523,1646431.85461,0,2024-12-09 01:00:00
1733709600000,131.12,131.84,130.12,130.86,30282.168,1733713199999,3963126.86238,8535,14690.258,1922693.02149,0,2024-12-09 02:00:00
1733713200000,130.84,131.59,128.11,129.58,42146.979,1733716799999,5466929.36064,13237,16474.471,2138675.35611,0,2024-12-09 03:00:00
1733716800000,129.57,130.58,128.81,130.51,33165.367,1733720399999,4307351.82042,9017,17662.834,2293882.33636,0,2024-12-09 04:00:00
1733720400000,130.51,131.03,130.2,130.55,19602.238,1733723999999,2558072.33269,5630,11673.096,1523248.17293,0,2024-12-09 05:00:00
1733724000000,130.55,130.59,127.61,128.2,26910.124,1733727599999,3464540.01847,9732,10202.687,1314006.72947,0,2024-12-09 06:00:00
1733727600000,128.2,128.31,124.87,127.01,93766.624,1733731199999,11833301.82089,27243,46001.32,5800905.93788,0,2024-12-09 07:00:00
1733731200000,127.01,127.32,124.15,124.39,61530.825,1733734799999,7756758.91151,19131,25649.874,3230273.56247,0,2024-12-09 08:00:00
