timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignored
2024-02-01,96.96,98.11,93.11,97.81,6556006.07,1706831999999,627562058.6994,652301,3228196.33000000,309093273.84010000,0
2024-02-02,97.81,102.57,97.39,100.58,5487861.84,1706918399999,548625813.6662,580111,2751200.63000000,275124077.63040000,0
2024-02-03,100.57,101.24,96.53,97.96,2787373.11,1707004799999,274762025.0328,292310,1382286.53000000,136281901.06360000,0
2024-02-04,97.95,98.59,95.08,95.49,2914876.34,1707091199999,282911440.8033,295763,1423038.52000000,138173035.86010000,0
2024-02-05,95.48,98.7,94.11,95.66,3891146.06,1707177599999,375072768.1381,381857,1964214.86000000,189483103.37250000,0
2024-02-06,95.66,97.88,92.88,96.88,4279238.07,1707263999999,408309176.2014,407235,2154937.56000000,205595782.43370000,0
2024-02-07,96.87,101.58,94.62,101.14,4577672.06,1707350399999,446039059.9197,489245,2329138.14000000,227261096.61420000,0
2024-02-08,101.14,104.98,100.51,102.76,5082811.46,1707436799999,521415121.7323,574488,2548368.44000000,261425100.13790000,0
2024-02-09,102.77,109.13,102.76,106.94,6686758.45,1707523199999,705846559.5141,724146,3467051.74000000,366014739.06680000,0
2024-02-10,106.94,110.86,106.86,109.01,3939526.49,1707609599999,429171975.2434,451222,2005802.90000000,218541100.55890000,0
2024-02-11,109.01,110.67,107.24,107.46,2755398.4,1707695999999,300070898.8657,337007,1329304.41000000,144792952.79430000,0
2024-02-12,107.46,112.22,103.4,111.64,6169652.05,1707782399999,665452212.1685,684788,3098042.67000000,334279630.39970000,0
2024-02-13,111.65,115.15,108.25,112.48,5622825.56,1707868799999,631903077.7933,674183,2771345.37000000,311405826.25770000,0
2024-02-14,112.49,118.69,110.61,116.97,4884824.42,1707955199999,563977441.6739,593380,2535103.80000000,292809396.44940000,0
2024-02-15,116.97,118.39,111.51,113.5,4927735.5,1708041599999,567749563.9749,658457,2277417.52000000,262353178.74950000,0
2024-02-16,113.5,114.25,107.94,110.33,3947132.77,1708127999999,438070793.2023,521407,1907792.46000000,211814412.40890000,0
2024-02-17,110.32,111.08,105.0,108.92,2897705.67,1708214399999,314210779.8993,388340,1328720.54000000,144136048.85460000,0
2024-02-18,108.92,114.04,107.51,112.24,3083833.73,1708300799999,343205223.4657,414145,1589233.83000000,176806018.08160000,0
2024-02-19,112.25,114.87,110.75,111.53,3746704.95,1708387199999,422129836.0457,514577,1822769.11000000,205431020.34460000,0
2024-02-20,111.53,112.11,103.0,108.31,5676734.13,1708473599999,614703000.8099,732595,2793426.70000000,302432954.19550000,0
2024-02-21,108.32,108.4,100.23,105.03,4752688.01,1708559999999,493622986.4706,638631,2247491.44000000,233441642.56790000,0
2024-02-22,105.04,107.1,101.53,101.76,3905642.33,1708646399999,408028903.1197,532651,2017092.37000000,210745180.83830000,0
2024-02-23,101.75,103.1,98.64,99.9,3546853.99,1708732799999,359325149.9384,441289,1746511.02000000,176969708.62940000,0
2024-02-24,99.91,104.85,98.48,104.01,2334116.02,1708819199999,237972991.0225,300412,1238506.30000000,126296954.49450000,0
2024-02-25,104.02,104.43,102.0,103.47,1967184.81,1708905599999,202983222.2078,285185,933488.17000000,96331564.64630000,0
2024-02-26,103.47,110.89,100.29,109.9,5392138.71,1708991999999,570413289.4648,723403,2824015.44000000,298794797.94010000,0
2024-02-27,109.9,112.3,105.29,108.36,6198163.52,1709078399999,679932921.2006,910828,3061442.24000000,335848421.70370000,0
2024-02-28,108.35,119.06,106.85,119.03,11832282.01,1709164799999,1332835060.4958,1812047,6046391.03000000,681766965.72580000,0
2024-02-29,119.03,134.65,117.15,125.68,13847087.32,1709251199999,1758043857.4217,2407149,7077792.29000000,898386234.68540000,0
2024-03-01,125.68,137.8,125.61,129.43,8376631.09,1709337599999,1112504025.3327,1579108,4210208.46000000,559323763.57170000,0
2024-03-02,129.43,131.69,127.2,130.02,4693251.94,1709423999999,605833422.1776,935924,2356730.62000000,304358057.60530000,0
2024-03-03,130.03,132.11,124.17,130.16,5228370.86,1709510399999,674383368.58,957739,2544717.28000000,328461274.09880000,0
2024-03-04,130.16,134.95,127.35,133.27,8053684.79,1709596799999,1054037091.2205,1354011,3948899.12000000,517039170.49080000,0
2024-03-05,133.26,142.72,105.0,125.31,17035242.52,1709683199999,2212988765.0951,2728801,8429665.84000000,1097205367.63500000,0
2024-03-06,125.31,134.95,120.0,130.79,9581617.48,1709769599999,1233993440.9801,1528038,4775652.18000000,614998226.91460000,0
2024-03-07,130.8,149.3,130.52,143.82,10952975.3,1709855999999,1553231320.4747,1976430,5566167.33000000,789450717.16030000,0
2024-03-08,143.82,152.64,142.0,144.79,8096745.65,1709942399999,1186459433.4229,1440300,4090161.97000000,599571234.59920000,0
2024-03-09,144.79,149.15,143.54,144.29,3686876.81,1710028799999,539026432.734,669430,1716521.03000000,250936918.21520000,0
2024-03-10,144.3,148.5,140.43,144.39,4489519.25,1710115199999,651013489.9828,754488,2233245.72000000,323813363.07120000,0
2024-03-11,144.39,150.2,136.49,148.83,7743384.35,1710201599999,1126194337.6658,1296958,3991337.90000000,580052514.55870000,0
2024-03-12,148.83,155.0,141.5,151.05,8930538.0,1710287999999,1337735992.299,1590998,4504142.03000000,675063357.22200000,0
2024-03-13,151.06,166.73,148.71,163.9,7627285.95,1710374399999,1188025236.9035,1411841,3999753.37000000,623238834.95290000,0
2024-03-14,163.9,178.5,159.2,176.65,10423585.86,1710460799999,1755161226.801,2198598,5336105.12000000,899064359.00120000,0
2024-03-15,176.65,188.98,164.5,183.95,17484961.6,1710547199999,3111253071.4139,3444279,8939610.38000000,1592456881.11840000,0
