open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1733554800000,18.108,18.398,18.023,18.244,466495.74,1733558399999,8494484.50418,23018,210555.5,3836619.54116,0,2024-12-07 07:00:00
1733558400000,18.243,18.29,17.915,18.079,278655.82,1733561999999,5039423.09205,15526,114187.54,2065552.03626,0,2024-12-07 08:00:00
1733562000000,18.078,18.28,17.795,17.827,274525.49,1733565599999,4941593.43832,15476,135393.95,2436656.8017,0,2024-12-07 09:00:00
1733565600000,17.829,17.832,17.395,17.429,1005554.46,1733569199999,17632499.99166,34166,568688.6,9961754.05159,0,2024-12-07 10:00:00
1733569200000,17.429,17.574,17.358,17.436,269489.91,1733572799999,4707456.04243,13240,112026.86,1957373.70012,0,2024-12-07 11:00:00
1733572800000,17.437,17.583,17.3,17.375,251930.54,1733576399999,4384353.20969,13011,136994.07,2387182.39845,0,2024-12-07 12:00:00
1733576400000,17.374,17.499,17.366,17.426,153256.76,1733579999999,2670542.0138,9070,76100.55,1326435.5204,0,2024-12-07 13:00:00
1733580000000,17.422,17.55,17.353,17.513,200355.2,1733583599999,3496565.00189,8891,90247.39,1575442.10438,0,2024-12-07 14:00:00
1733583600000,17.507,17.658,17.477,17.559,266577.32,1733587199999,4683554.82339,12219,148911.35,2616812.62026,0,2024-12-07 15:00:00
1733587200000,17.56,17.647,17.459,17.604,218411.91,1733590799999,3833979.96662,10098,105836.91,1858281.61827,0,2024-12-07 16:00:00
1733590800000,17.605,17.697,17.22,17.239,314642.68,1733594399999,5480861.46358,13221,127318.89,2218639.6695,0,2024-12-07 17:00:00
1733594400000,17.24,17.677,17.215,17.622,262508.81,1733597999999,4574639.6536,11879,129215.3,2253835.94672,0,2024-12-07 18:00:00
1733598000000,17.623,17.849,17.515,17.713,238197.07,1733601599999,4217873.53068,11430,110855.52,1963332.72502,0,2024-12-07 19:00:00
1733601600000,17.71,17.8,17.633,17.742,128673.36,1733605199999,2280121.52629,7309,66669.48,1181702.94193,0,2024-12-07 20:00:00
1733605200000,17.741,17.9,17.683,17.847,152249.55,1733608799999,2712092.82692,7992,76943.97,1370479.06056,0,2024-12-07 21:00:00
1733608800000,17.848,18.0,17.741,17.836,216844.51,1733612399999,3877970.26378,10202,115237.47,2061503.00598,0,2024-12-07 22:00:00
1733612400000,17.836,18.396,17.834,18.061,665974.05,1733615999999,12120213.31338,29558,385030.45,7006952.39271,0,2024-12-07 23:00:00
1733616000000,18.064,18.411,18.021,18.247,504247.79,1733619599999,9187585.50774,23300,241774.79,4407903.30359,0,2024-12-08 00:00:00
1733619600000,18.255,18.255,17.838,17.894,375280.34,1733623199999,6771388.34849,18621,121063.07,2189383.70985,0,2024-12-08 01:00:00
1733623200000,17.894,17.989,17.733,17.772,204890.27,1733626799999,3656278.88439,9981,82497.11,1472981.6751,0,2024-12-08 02:00:00
1733626800000,17.772,17.879,17.641,17.65,121957.45,1733630399999,2166259.83175,7520,49762.5,884235.70959,0,2024-12-08 03:00:00
1733630400000,17.651,17.767,17.519,17.52,198397.85,1733633999999,3494547.53637,11644,96128.54,1693088.1602,0,2024-12-08 04:00:00
1733634000000,17.521,17.693,17.519,17.636,216958.7,1733637599999,3820415.5167,10730,112734.12,1985836.04783,0,2024-12-08 05:00:00
