open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1733551200000,2.4247,2.4452,2.4094,2.4376,12106535.0,1733554799999,29425023.6226,53391,6264670.0,15230105.4916,0,2024-12-07 06:00:00
1733554800000,2.4378,2.4428,2.384,2.4073,18148010.0,1733558399999,43729150.4736,82652,7726983.0,18617778.8011,0,2024-12-07 07:00:00
1733558400000,2.4072,2.4412,2.3937,2.4238,15845417.0,1733561999999,38343045.0756,117084,8237117.0,19938844.7624,0,2024-12-07 08:00:00
1733562000000,2.4238,2.4496,2.4237,2.4338,14834305.0,1733565599999,36107898.8418,99047,7272779.0,17704204.4881,0,2024-12-07 09:00:00
1733565600000,2.4337,2.4424,2.4069,2.4242,12986472.0,1733569199999,31472712.0037,101594,6319851.0,15313705.8418,0,2024-12-07 10:00:00
1733569200000,2.4242,2.4409,2.4053,2.4299,13406706.0,1733572799999,32485523.3627,110575,6615070.0,16032438.5002,0,2024-12-07 11:00:00
1733572800000,2.4298,2.4437,2.4207,2.4385,12114654.0,1733576399999,29512338.2673,91000,5807088.0,14148224.8422,0,2024-12-07 12:00:00
1733576400000,2.4385,2.4755,2.432,2.4509,29882528.0,1733579999999,73400948.6537,195356,15988700.0,39264670.1725,0,2024-12-07 13:00:00
1733580000000,2.4509,2.4798,2.4466,2.4689,20059596.0,1733583599999,49481395.5691,147359,9220343.0,22744733.3276,0,2024-12-07 14:00:00
1733583600000,2.4689,2.5482,2.4661,2.5405,51318563.0,1733587199999,128671298.1182,245663,26596357.0,66665398.2665,0,2024-12-07 15:00:00
1733587200000,2.5405,2.57,2.5216,2.5365,53797061.0,1733590799999,136902989.3209,320356,26978101.0,68680165.2782,0,2024-12-07 16:00:00
1733590800000,2.5364,2.5364,2.4817,2.4866,26524260.0,1733594399999,66455162.3821,181140,11130662.0,27889992.2329,0,2024-12-07 17:00:00
1733594400000,2.4866,2.4999,2.47,2.4971,18444906.0,1733597999999,45858944.8705,118784,9615266.0,23911822.1922,0,2024-12-07 18:00:00
1733598000000,2.4972,2.531,2.4952,2.5148,20674142.0,1733601599999,51996558.8296,154854,10081173.0,25351126.8989,0,2024-12-07 19:00:00
