2025-03-09 15:05:07,753 - data_downloader - INFO - Đang tạo dữ liệu giả (không kết nối API Binance)
2025-03-09 15:05:07,776 - data_downloader - INFO - Đã tạo dữ liệu giả cho BTC/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:07,876 - data_downloader - INFO - Đã tạo dữ liệu giả cho BTC/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:08,119 - data_downloader - INFO - Đã tạo dữ liệu giả cho BTC/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:08,139 - data_downloader - INFO - Đã tạo dữ liệu giả cho ETH/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:08,208 - data_downloader - INFO - Đã tạo dữ liệu giả cho ETH/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:08,457 - data_downloader - INFO - Đã tạo dữ liệu giả cho ETH/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:08,474 - data_downloader - INFO - Đã tạo dữ liệu giả cho BNB/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:08,549 - data_downloader - INFO - Đã tạo dữ liệu giả cho BNB/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:08,795 - data_downloader - INFO - Đã tạo dữ liệu giả cho BNB/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:08,809 - data_downloader - INFO - Đã tạo dữ liệu giả cho SOL/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:08,881 - data_downloader - INFO - Đã tạo dữ liệu giả cho SOL/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:09,142 - data_downloader - INFO - Đã tạo dữ liệu giả cho SOL/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:09,160 - data_downloader - INFO - Đã tạo dữ liệu giả cho LINK/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:09,232 - data_downloader - INFO - Đã tạo dữ liệu giả cho LINK/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:09,475 - data_downloader - INFO - Đã tạo dữ liệu giả cho LINK/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:09,490 - data_downloader - INFO - Đã tạo dữ liệu giả cho DOGE/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:09,552 - data_downloader - INFO - Đã tạo dữ liệu giả cho DOGE/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:09,800 - data_downloader - INFO - Đã tạo dữ liệu giả cho DOGE/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:09,819 - data_downloader - INFO - Đã tạo dữ liệu giả cho ADA/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:09,889 - data_downloader - INFO - Đã tạo dữ liệu giả cho ADA/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:10,132 - data_downloader - INFO - Đã tạo dữ liệu giả cho ADA/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:10,150 - data_downloader - INFO - Đã tạo dữ liệu giả cho MATIC/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:10,236 - data_downloader - INFO - Đã tạo dữ liệu giả cho MATIC/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:10,550 - data_downloader - INFO - Đã tạo dữ liệu giả cho MATIC/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:10,569 - data_downloader - INFO - Đã tạo dữ liệu giả cho LTC/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:10,660 - data_downloader - INFO - Đã tạo dữ liệu giả cho LTC/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:10,911 - data_downloader - INFO - Đã tạo dữ liệu giả cho LTC/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:10,931 - data_downloader - INFO - Đã tạo dữ liệu giả cho DOT/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:11,001 - data_downloader - INFO - Đã tạo dữ liệu giả cho DOT/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:11,248 - data_downloader - INFO - Đã tạo dữ liệu giả cho DOT/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:11,263 - data_downloader - INFO - Đã tạo dữ liệu giả cho AVAX/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:11,327 - data_downloader - INFO - Đã tạo dữ liệu giả cho AVAX/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:11,593 - data_downloader - INFO - Đã tạo dữ liệu giả cho AVAX/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:11,609 - data_downloader - INFO - Đã tạo dữ liệu giả cho ATOM/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:11,678 - data_downloader - INFO - Đã tạo dữ liệu giả cho ATOM/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:11,923 - data_downloader - INFO - Đã tạo dữ liệu giả cho ATOM/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:11,936 - data_downloader - INFO - Đã tạo dữ liệu giả cho UNI/USDT - 1d, tổng cộng 68 nến
2025-03-09 15:05:12,000 - data_downloader - INFO - Đã tạo dữ liệu giả cho UNI/USDT - 4h, tổng cộng 403 nến
2025-03-09 15:05:12,244 - data_downloader - INFO - Đã tạo dữ liệu giả cho UNI/USDT - 1h, tổng cộng 1609 nến
2025-03-09 15:05:12,244 - data_downloader - INFO - Hoàn tất quá trình tải dữ liệu. Dữ liệu được lưu trong thư mục: data
