2025-03-15 17:02:49,454 - integrated_backtest - INFO - Đã khởi tạo backtest cho BTCUSDT 1h với dữ liệu 90 ngày
2025-03-15 17:02:49,454 - integrated_backtest - INFO - Tải dữ liệu BTCUSDT từ 2024-12-15 đến 2025-03-15
2025-03-15 17:02:49,454 - integrated_backtest - INFO - Đang tải dữ liệu từ data/BTCUSDT_1h_data.csv
2025-03-15 17:02:49,466 - integrated_backtest - INFO - Đã tải 2126 nến cho BTCUSDT
2025-03-15 17:02:49,477 - integrated_backtest - INFO - Bắt đầu backtest tích hợp cho BTCUSDT với 2107 nến
2025-03-15 17:02:49,479 - integrated_backtest - INFO - Ngày 2024-12-19 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,482 - integrated_backtest - INFO - Ngày 2024-12-20 13:00:00: Thị trường BEAR, chọn mức rủi ro conservative (5.0%)
2025-03-15 17:02:49,486 - integrated_backtest - INFO - Ngày 2024-12-21 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro conservative (5.0%)
2025-03-15 17:02:49,488 - integrated_backtest - INFO - Ngày 2024-12-22 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro conservative (5.0%)
2025-03-15 17:02:49,491 - integrated_backtest - INFO - Ngày 2024-12-23 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro conservative (5.0%)
2025-03-15 17:02:49,494 - integrated_backtest - INFO - Ngày 2024-12-24 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro moderate (10.0%)
2025-03-15 17:02:49,497 - integrated_backtest - INFO - Ngày 2024-12-25 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,500 - integrated_backtest - INFO - Ngày 2024-12-26 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,503 - integrated_backtest - INFO - Ngày 2024-12-27 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,506 - integrated_backtest - INFO - Ngày 2024-12-28 13:00:00: Thị trường VOLATILE, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,507 - integrated_backtest - INFO - Ngày 2024-12-29 13:00:00: Thị trường VOLATILE, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,508 - integrated_backtest - INFO - Ngày 2024-12-30 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,510 - integrated_backtest - INFO - Ngày 2024-12-31 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,512 - integrated_backtest - INFO - Ngày 2025-01-01 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,515 - integrated_backtest - INFO - Ngày 2025-01-02 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
2025-03-15 17:02:49,517 - integrated_backtest - INFO - Ngày 2025-01-03 13:00:00: Thị trường SIDEWAYS, chọn mức rủi ro ultra_conservative (3.0%)
