timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-09 20:00:00,1.0902,1.0902,0.9862,1.0476,259651,1733788799999,282024.23910,16,34,35.61840,0
2024-12-10 00:00:00,1.0477,1.0477,1.0477,1.0477,1095,1733803199999,1147.23150,3,1000,1047.70000,0
2024-12-10 04:00:00,0.9785,1.09,0.9785,0.9879,34873,1733817599999,36408.46550,22,0,0,0
2024-12-10 08:00:00,0.9879,0.9879,0.9879,0.9879,3092,1733831999999,3054.58680,3,0,0,0
2024-12-10 12:00:00,0.9879,1.03,0.97,0.97,48024,1733846399999,47862.46880,10,0,0,0
2024-12-10 16:00:00,0.94,0.9801,0.84,0.97,170464,1733860799999,165631.25920,29,43640,42433.26220,0
2024-12-10 20:00:00,0.9801,0.9801,0.9801,0.9801,10395,1733875199999,10188.13950,4,0,0,0
2024-12-11 00:00:00,0.9801,1.0014,0.9801,0.9801,29719,1733889599999,29130.06270,8,0,0,0
2024-12-11 04:00:00,0.9719,1.1094,0.9709,1.0124,14168,1733903999999,14543.95790,34,11286,11676.76500,0
2024-12-11 08:00:00,0.9708,1.0,0.9708,1.0,33698,1733918399999,33298.01840,9,0,0,0
2024-12-11 12:00:00,1.0,1.2,1.0,1.2,20328,1733932799999,22393.60000,7,10328,12393.60000,0
2024-12-11 16:00:00,1.0945,1.0945,1.08,1.08,20978,1733947199999,22668.14450,4,9009,9729.72000,0
2024-12-11 20:00:00,1.0,1.0843,1.0,1.0843,14373,1733961599999,14952.39390,8,6873,7452.39390,0
2024-12-12 00:00:00,1.0843,1.1,1.0843,1.1,73978,1733975999999,80355.37090,18,69370,75355.69090,0
2024-12-12 04:00:00,1.1,1.17,1.1,1.17,49206,1733990399999,54758.98000,16,40172,44189.20000,0
2024-12-12 08:00:00,1.17,1.189,1.03,1.137,26127,1734004799999,30228.80510,30,9667,11374.99250,0
2024-12-12 12:00:00,1.137,1.2,1.018,1.1344,43991,1734019199999,52507.21650,20,42356,50611.00440,0
2024-12-12 16:00:00,1.1471,1.148,1.1471,1.148,10168,1734033599999,11672.68490,6,8909,10227.35290,0
2024-12-12 20:00:00,1.148,1.148,1.148,1.148,55239,1734047999999,63414.37200,6,0,0,0
