timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-10,690.01,772.0,690.001,690.002,1554.6,1733875199999,1079395.51469,178,336.08,233348.01868,0
2024-12-11,691.38,709.69,690.002,709.69,947.12,1733961599999,658167.07459,209,63.19,44179.13020,0
2024-12-12,715.29,796.999,710.0,717.43,540.96,1734047999999,394895.21816,311,134.68,104890.33316,0
2024-12-13,717.43,796.996,690.003,780.0,1415.13,1734134399999,1021315.13154,252,491.25,374967.10083,0
2024-12-14,780.0,798.992,690.002,717.81,1954.89,1734220799999,1480942.33191,420,1013.44,805696.24983,0
2024-12-15,717.81,797.997,690.002,724.2,2057.47,1734307199999,1493131.17761,536,610.29,479022.77054,0
2024-12-16,797.992,797.995,719.55,720.002,2214.82,1734393599999,1650615.34803,979,939.13,732081.26277,0
2024-12-17,720.002,794.548,720.002,720.002,1362.35,1734479999999,1028797.69040,528,658.86,522004.64956,0
2024-12-18,720.002,794.547,690.0,690.0,3405.87,1734566399999,2468762.61965,470,678.50,538725.79183,0
2024-12-19,690.0,794.546,596.0,688.83,2601.39,1734652799999,1859833.67031,528,1284.89,953349.99408,0
2024-12-20,710.0,727.551,568.0,650.937,3797.81,1734739199999,2276752.28066,314,103.39,72631.61432,0
2024-12-21,650.937,709.0,600.0,655.0,1014.21,1734825599999,669045.17303,246,14.47,9929.77883,0
2024-12-22,655.0,789.999,651.47,678.0,352.55,1734911999999,243163.16538,311,199.44,140982.57042,0
2024-12-23,678.0,789.999,678.0,766.533,1121.61,1734998399999,811903.58534,335,451.37,352907.87640,0
2024-12-24,768.879,794.545,678.0,678.0,2028.4,1735084799999,1527017.93868,610,1053.38,818020.48984,0
2024-12-25,780.0,794.545,667.8,667.8,1229.64,1735171199999,915790.04717,423,718.50,559979.35930,0
2024-12-26,702.92,794.545,568.002,688.32,340.73,1735257599999,238739.25885,433,132.16,96155.93347,0
2024-12-27,687.96,794.545,600.0,654.26,1241.07,1735343999999,891206.52695,616,652.74,492205.84892,0
2024-12-28,691.95,794.546,637.909,794.546,1596.4,1735430399999,1182064.61611,618,837.60,655209.10797,0
2024-12-29,727.05,794.548,666.548,693.92,3026.63,1735516799999,2295407.02921,395,1855.08,1465522.48957,0
2024-12-30,701.13,794.548,628.0,704.69,1946.9,1735603199999,1312200.72716,427,472.52,345665.94071,0
2024-12-31,628.001,794.549,628.0,700.22,1714.58,1735689599999,1225251.84822,475,622.10,490860.14362,0
2025-01-01,703.94,797.994,628.001,707.63,1150.52,1735775999999,800660.20644,485,310.12,242469.18945,0
2025-01-02,707.63,797.994,628.001,628.001,95.74,1735862399999,71567.47913,122,50.04,39377.70473,0
2025-01-03,797.994,797.996,628.001,710.519,2934.0,1735948799999,2061326.28939,390,764.78,607727.81174,0
2025-01-04,717.29,798.992,628.001,712.17,1991.63,1736035199999,1509900.59932,545,1100.23,875729.43677,0
2025-01-05,712.17,820.0,628.001,715.0,1841.83,1736121599999,1345542.80729,326,838.74,627920.79998,0
2025-01-06,715.0,861.25,707.77,820.0,1048.05,1736207999999,776038.24541,783,374.41,294608.86402,0
2025-01-07,736.91,820.0,707.77,708.5,957.07,1736294399999,702644.03206,407,258.10,197413.47755,0
2025-01-08,708.5,820.0,707.771,707.771,970.75,1736380799999,688109.28449,191,12.40,9230.00000,0
2025-01-09,707.771,735.86,694.904,694.904,310.81,1736467199999,219989.95559,120,1.00,708.00000,0
2025-01-10,694.904,711.634,628.001,692.53,186.44,1736553599999,126023.81843,371,29.19,20218.23330,0
2025-01-11,693.39,744.737,690.99,697.001,289.24,1736639999999,201646.78233,345,205.48,143229.40921,0
2025-01-12,697.001,820.0,697.0,706.7,441.82,1736726399999,333863.05158,155,234.71,189222.21190,0
2025-01-13,698.2,819.98,697.0,819.98,1121.46,1736812799999,789812.70354,208,106.54,82242.13540,0
2025-01-14,769.98,819.98,695.0,699.27,247.24,1736899199999,172934.92697,297,60.40,42791.32028,0
2025-01-15,695.0,735.734,620.0,713.65,1616.35,1736985599999,1085857.23809,724,372.11,260817.60360,0
2025-01-16,714.363,740.0,610.0,710.3,217.16,1737071999999,149224.28029,368,135.08,95542.99618,0
2025-01-17,709.88,820.0,630.15,722.26,830.14,1737158399999,620003.92720,393,240.98,190570.89919,0
2025-01-18,630.15,820.0,630.15,706.21,184.38,1737244799999,128461.70256,345,28.90,20637.33800,0
2025-01-19,714.448,820.0,610.001,696.0,575.0,1737331199999,388371.94156,229,27.41,19317.99220,0
2025-01-20,610.001,713.98,600.001,682.04,1086.13,1737417599999,730972.44202,410,662.92,464851.51401,0
2025-01-21,600.001,719.0,590.0,693.07,912.19,1737503999999,606320.80560,346,235.62,162331.81661,0
2025-01-22,693.07,719.0,610.0,695.7,381.32,1737590399999,263238.22014,425,191.28,131891.30520,0
2025-01-23,695.18,756.77,580.0,691.01,762.85,1737676799999,506023.38483,298,5.03,3441.38032,0
2025-01-24,691.01,820.0,686.49,698.79,619.61,1737763199999,430814.45321,411,26.51,21281.16315,0
2025-01-25,687.55,820.0,687.55,715.0,2483.02,1737849599999,1802140.76091,615,1040.86,784388.17161,0
2025-01-26,760.0,760.0,687.55,687.55,1664.97,1737935999999,1192775.19070,325,626.93,473475.43114,0
2025-01-27,687.55,760.0,600.0,760.0,622.0,1738022399999,389054.24090,671,36.64,26725.13162,0
2025-01-28,760.0,760.0,580.0,661.27,602.61,1738108799999,404464.60539,206,25.94,17781.86000,0
2025-01-29,663.95,798.0,659.99,670.22,520.48,1738195199999,345836.29658,345,41.97,28480.73382,0
2025-01-30,667.9,748.89,667.9,678.93,811.48,1738281599999,549088.30758,566,141.87,97250.77227,0
2025-01-31,678.93,820.0,620.0,678.98,1623.77,1738367999999,1153878.51472,663,758.67,561360.27958,0
2025-02-01,679.0,718.109,620.0,668.59,449.57,1738454399999,299753.81241,376,6.10,4098.46370,0
2025-02-02,668.59,703.0,600.0,617.0,1976.1,1738540799999,1317752.99919,171,3.70,2340.39280,0
2025-02-03,617.95,660.0,568.002,599.03,1997.4,1738627199999,1167326.78508,299,27.50,16537.51118,0
2025-02-04,616.79,624.315,581.9,591.0,309.52,1738713599999,188170.98865,120,6.63,4111.64610,0
2025-02-05,591.0,634.233,568.002,568.002,1901.76,1738799999999,1093850.75363,483,13.46,8196.33902,0
2025-02-06,568.002,588.92,568.002,568.002,778.18,1738886399999,447544.03666,1129,35.71,20704.63253,0
2025-02-07,568.002,704.0,568.002,579.13,418.89,1738972799999,242347.66957,641,159.81,93205.96067,0
2025-02-08,634.806,661.572,568.002,617.33,899.26,1739059199999,528127.76355,399,86.17,52524.92753,0
2025-02-09,614.4,674.038,614.4,670.091,315.42,1739145599999,199838.12967,239,44.03,28232.83376,0
2025-02-10,681.81,701.24,600.0,617.69,2009.8,1739231999999,1274338.11284,394,145.81,98062.62343,0
2025-02-11,620.07,749.0,600.0,600.0,467.77,1739318399999,297999.50217,359,28.95,18330.18766,0
2025-02-12,672.865,819.0,600.0,705.0,898.41,1739404799999,614466.02842,448,195.77,140389.62858,0
2025-02-13,698.2,819.0,639.701,692.906,3693.18,1739491199999,2568833.64903,1060,1248.30,896172.84550,0
2025-02-14,692.906,718.725,639.701,662.34,425.12,1739577599999,283463.91243,206,16.24,10842.44014,0
2025-02-15,662.34,753.0,618.999,699.587,1363.97,1739663999999,884283.22565,1012,364.59,240467.53374,0
2025-02-16,699.587,711.82,610.498,678.0,510.81,1739750399999,338115.95589,447,167.47,112979.77299,0
2025-02-17,678.0,708.0,670.0,679.0,595.05,1739836799999,403191.75370,208,0.65,445.84632,0
2025-02-18,679.0,818.998,600.0,646.48,1796.06,1739923199999,1166360.81584,380,99.30,74809.24934,0
2025-02-19,646.48,777.777,600.0,745.309,1248.04,1740009599999,837057.81461,1204,349.11,251092.30950,0
2025-02-20,773.872,818.997,600.0,658.29,1499.78,1740095999999,1038656.01164,1258,317.62,243243.95807,0
