timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-09 20:00:00,99751.9,101279.8,97752.5,98996.5,933.286,1733788799999,91689622.02380,10831,150.132,14980511.27910,0
2024-12-10 00:00:00,98215.3,101279.4,97900.0,99332.4,208.521,1733803199999,20720300.93740,7509,84.846,8516354.80880,0
2024-12-10 04:00:00,99238.2,101199.9,97900.0,99073.1,609.227,1733817599999,60066225.91760,7802,131.947,13241397.16120,0
2024-12-10 08:00:00,99073.1,101185.1,97900.2,99781.3,335.867,1733831999999,33529148.48580,8836,173.429,17435812.73170,0
2024-12-10 12:00:00,99600.0,100800.0,98051.8,98708.2,474.466,1733846399999,47064871.89380,13102,207.786,20728930.24220,0
2024-12-10 16:00:00,98566.5,99600.0,95200.0,97000.1,2514.671,1733860799999,244244655.33320,11953,297.761,29250343.45370,0
2024-12-10 20:00:00,97739.1,97999.8,95829.2,96039.6,211.001,1733875199999,20518654.70810,4944,101.732,9945192.89600,0
2024-12-11 00:00:00,96592.1,98849.9,95808.5,97311.2,524.538,1733889599999,51337386.71780,3526,436.519,42794031.67160,0
2024-12-11 04:00:00,97406.8,99548.6,95808.5,97741.0,246.301,1733903999999,24165941.57800,5675,135.088,13315879.12610,0
2024-12-11 08:00:00,97741.0,99600.0,95850.0,99312.7,522.878,1733918399999,51403825.98420,13199,277.069,27452082.87520,0
2024-12-11 12:00:00,98718.9,99999.9,97578.2,99799.9,718.982,1733932799999,71085880.51870,12257,358.581,35676851.28260,0
2024-12-11 16:00:00,99799.9,101002.3,98150.9,99651.2,903.654,1733947199999,90236258.03920,32353,519.212,52036571.81580,0
2024-12-11 20:00:00,100016.9,104299.8,98174.5,104299.6,991.121,1733961599999,100283765.23530,44594,683.183,69452680.70130,0
2024-12-12 00:00:00,104299.5,104299.8,98174.6,101419.5,643.958,1733975999999,65858234.14940,32140,147.860,15244420.30280,0
2024-12-12 04:00:00,101420.8,103117.8,100115.0,102000.0,359.417,1733990399999,36378761.39470,30804,153.548,15651978.77540,0
2024-12-12 08:00:00,101481.9,104006.4,98200.0,101647.6,659.18,1734004799999,66448128.09560,34120,232.187,23703453.56390,0
2024-12-12 12:00:00,101013.3,102996.6,98817.5,102491.7,595.222,1734019199999,60228218.32110,19260,251.434,25666082.13960,0
