timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-10,0.42,0.43,0.35801,0.35805,6530315,1733875199999,2607109.981090,290,172865,71119.180440,0
2024-12-11,0.35805,0.45,0.35805,0.406,4627820,1733961599999,1850521.758570,262,319074,127592.322340,0
2024-12-12,0.406,0.455,0.37,0.37,4213020,1734047999999,1740011.289540,828,763624,320591.179920,0
2024-12-13,0.37,0.43123,0.37,0.4293,1162225,1734134399999,469395.050120,112,267868,106771.078860,0
2024-12-14,0.4293,0.47998,0.37,0.37,4671102,1734220799999,1921991.316920,549,1004456,431916.215380,0
2024-12-15,0.37,0.455,0.37,0.455,2281530,1734307199999,880347.590710,111,98953,39971.457220,0
2024-12-16,0.37,0.47998,0.37,0.37,1734652,1734393599999,664025.257160,177,296764,120446.138550,0
2024-12-17,0.37,0.47998,0.35805,0.41463,2392656,1734479999999,939270.203730,277,626395,271566.737130,0
2024-12-18,0.41463,0.47998,0.358,0.358,5746669,1734566399999,2129792.697940,250,88154,40544.177050,0
2024-12-19,0.358,0.4,0.29204,0.29204,6171003,1734652799999,2137978.527440,340,63266,22438.680370,0
2024-12-20,0.29204,0.38193,0.2499,0.32976,2307926,1734739199999,737609.056790,797,455111,156259.152080,0
2024-12-21,0.33411,0.41929,0.28,0.325,5216333,1734825599999,1735435.528580,1240,1108421,368252.530370,0
2024-12-22,0.325,0.3599,0.3068,0.31836,6204764,1734911999999,2000163.890530,396,660795,237265.867480,0
2024-12-23,0.32,0.38,0.31277,0.31277,4339383,1734998399999,1359301.300130,333,93926,30868.687290,0
2024-12-24,0.31277,0.3595,0.31277,0.34426,1391556,1735084799999,481981.480850,223,1397,498.030500,0
2024-12-25,0.34426,0.41,0.34347,0.34348,1719530,1735171199999,591375.568930,377,4491,1738.235590,0
2024-12-26,0.34348,0.39,0.31277,0.31277,4992014,1735257599999,1635426.877830,419,95386,34916.836400,0
2024-12-27,0.336,0.37,0.31,0.3118,1699518,1735343999999,531308.082790,138,3069,1115.983980,0
2024-12-28,0.32725,0.37,0.3,0.32171,2157763,1735430399999,669603.040760,134,1478,505.799320,0
2024-12-29,0.32171,0.39,0.3,0.3,1177156,1735516799999,374474.358660,117,90900,32291.205780,0
2024-12-30,0.31475,0.37,0.28,0.31424,1382848,1735603199999,403226.944510,102,319475,97482.248990,0
2024-12-31,0.31424,0.36,0.28,0.344,623437,1735689599999,194263.610700,108,49142,17538.378640,0
2025-01-01,0.344,0.39,0.28,0.34219,950294,1735775999999,325452.841490,164,471831,161744.587420,0
2025-01-02,0.34219,0.39,0.28372,0.30836,735598,1735862399999,238087.986010,104,58743,20035.409270,0
2025-01-03,0.34,0.46,0.30836,0.4,1640285,1735948799999,588478.931850,114,618926,247510.225950,0
2025-01-04,0.4,0.46,0.34,0.3938,3163794,1736035199999,1229610.038490,274,740170,291992.316400,0
2025-01-05,0.395,0.45,0.32,0.38055,2403379,1736121599999,909225.328060,144,896643,340604.669000,0
2025-01-06,0.44,0.47998,0.38055,0.47998,1221923,1736207999999,476015.244460,157,138855,62273.403120,0
2025-01-07,0.385,0.44,0.341,0.3547,6478927,1736294399999,2476998.809970,297,750642,293286.562270,0
2025-01-08,0.35471,0.376,0.3,0.3342,3082125,1736380799999,1050050.789230,319,285502,99172.540380,0
2025-01-09,0.3342,0.39,0.31,0.31,2501164,1736467199999,853315.080230,134,300170,107750.064040,0
2025-01-10,0.352,0.39279,0.28372,0.329,196579,1736553599999,62922.172440,121,21341,6870.073410,0
2025-01-11,0.329,0.37044,0.311,0.344,1458880,1736639999999,470277.444330,114,97082,33900.990400,0
2025-01-12,0.344,0.35705,0.31,0.312,1429264,1736726399999,483377.199610,131,765173,267155.875700,0
2025-01-13,0.33639,0.37,0.31,0.31,669779,1736812799999,218777.817230,118,113386,39662.422800,0
2025-01-14,0.31,0.4,0.3,0.355,619017,1736899199999,208978.812020,136,173416,60546.068070,0
2025-01-15,0.355,0.41,0.3456,0.35381,1372201,1736985599999,491808.428740,112,82528,29646.550280,0
2025-01-16,0.35381,0.45,0.35267,0.356,983636,1737071999999,359840.084530,179,136617,51903.731050,0
2025-01-17,0.356,0.45,0.356,0.406,1860586,1737158399999,750962.188680,118,138995,56440.906200,0
2025-01-18,0.406,0.49,0.405,0.405,1405399,1737244799999,580945.594560,149,120235,58374.480000,0
2025-01-19,0.405,0.46,0.356,0.356,3004757,1737331199999,1149065.931790,118,89777,38359.167350,0
2025-01-20,0.356,0.39625,0.333,0.38289,2544562,1737417599999,932735.618550,328,589207,232850.636340,0
2025-01-21,0.38291,0.49,0.35,0.35023,3465745,1737503999999,1313010.827680,253,439744,184275.721210,0
2025-01-22,0.4,0.4,0.32,0.39,2113959,1737590399999,764180.863260,235,484490,182220.103000,0
2025-01-23,0.35003,0.39,0.35,0.35001,4223424,1737676799999,1524980.600840,209,1086341,423672.990000,0
2025-01-24,0.4,0.4,0.35001,0.4,1170804,1737763199999,415303.773780,122,18532,7118.729400,0
2025-01-25,0.4,0.4,0.35,0.3506,890610,1737849599999,313826.901460,61,0,0,0
2025-01-26,0.3506,0.42,0.33,0.35131,1426439,1737935999999,500183.721030,80,933,326.891240,0
2025-01-27,0.35307,0.37489,0.28372,0.3528,6255332,1738022399999,2002028.866950,169,1153871,372327.503600,0
2025-01-28,0.3528,0.355,0.2678,0.31825,12717266,1738108799999,3774989.348360,407,5414771,1625302.567570,0
2025-01-29,0.31825,0.3812,0.295,0.338,320134,1738195199999,107416.962350,179,43615,15682.357400,0
2025-01-30,0.338,0.39,0.32,0.32,839946,1738281599999,274676.770570,276,69259,23951.463500,0
2025-01-31,0.32,0.39,0.29441,0.29441,2088328,1738367999999,666214.775260,112,18673,7282.470000,0
2025-02-01,0.35091,0.35091,0.272,0.3368,2497313,1738454399999,743230.952890,129,425722,136861.819880,0
2025-02-02,0.3368,0.3368,0.234,0.234,6824045,1738540799999,1850281.303950,213,1095552,351150.761090,0
2025-02-03,0.2949,0.3155,0.19,0.29501,3877832,1738627199999,953064.966310,580,1428606,378409.889420,0
2025-02-04,0.29501,0.3,0.23233,0.25636,4404767,1738713599999,1252433.237440,216,1373221,395538.524140,0
2025-02-05,0.2648,0.29,0.26,0.26682,2994486,1738799999999,831767.695140,152,538952,155015.203800,0
2025-02-06,0.26682,0.28614,0.22002,0.2435,1630721,1738886399999,424593.898010,111,4288,1087.945750,0
2025-02-07,0.2435,0.27312,0.2435,0.2435,2902310,1738972799999,724631.030110,93,1170658,293618.414440,0
2025-02-08,0.2435,0.29,0.2435,0.26,1201005,1739059199999,300330.357780,122,40,11.200000,0
2025-02-09,0.26,0.2828,0.2435,0.2435,3426627,1739145599999,851287.250640,138,889845,225576.863870,0
2025-02-10,0.2435,0.3003,0.2435,0.2435,1528718,1739231999999,391376.981180,46,205,49.929800,0
2025-02-11,0.284,0.284,0.2435,0.2435,573589,1739318399999,140089.351730,55,2299,609.541860,0
2025-02-12,0.2435,0.24367,0.2435,0.24366,88954,1739404799999,21671.723560,26,0,0,0
2025-02-13,0.24366,0.285,0.24366,0.253,1228021,1739491199999,301845.977940,104,13701,3445.613450,0
2025-02-14,0.253,0.28851,0.24366,0.28112,1216325,1739577599999,321965.917860,69,19517,5475.530680,0
2025-02-15,0.28112,0.30552,0.2435,0.25,6580053,1739663999999,1783011.886120,602,1455795,432787.415960,0
2025-02-16,0.30552,0.30552,0.25,0.27026,1570223,1739750399999,395988.384750,141,83593,23858.923700,0
2025-02-17,0.27026,0.30552,0.2435,0.26,2940989,1739836799999,791630.107750,240,1416569,398195.767570,0
2025-02-18,0.2435,0.27028,0.2435,0.24629,4594600,1739923199999,1131024.850570,335,602867,156723.161270,0
2025-02-19,0.25171,0.2648,0.2435,0.2435,4146877,1740009599999,1014525.846050,173,58167,15306.000240,0
2025-02-20,0.25688,0.30552,0.22,0.26717,486194,1740095999999,120640.803660,245,59056,14650.874670,0
2025-02-21,0.26717,0.30552,0.2445,0.2445,1541850,1740182399999,411101.009040,425,52447,15548.576490,0
2025-02-22,0.2445,0.30552,0.20662,0.25863,2750757,1740268799999,589063.793670,230,83943,23695.544140,0
2025-02-23,0.25863,0.30552,0.20662,0.24186,2549143,1740355199999,649251.876390,235,1303891,336374.370230,0
2025-02-24,0.24186,0.27404,0.20662,0.23587,3220661,1740441599999,783155.276010,460,1033054,256003.463980,0
2025-02-25,0.23587,0.25532,0.1869,0.2218,6817054,1740527999999,1430588.989890,291,951963,211487.531650,0
2025-02-26,0.2218,0.233,0.17,0.20104,2770347,1740614399999,614173.272200,148,2283729,521404.122520,0
2025-02-27,0.20439,0.23,0.201,0.20486,2855304,1740700799999,605830.422560,249,1187791,268409.416160,0
2025-02-28,0.23,0.23,0.16,0.2008,2022088,1740787199999,418028.639680,3022,565070,123008.127280,0
2025-03-01,0.20295,0.23,0.16,0.23,1269909,1740873599999,272801.343390,87,853561,189610.801890,0
2025-03-02,0.23,0.245,0.1757,0.23282,4299922,1740959999999,835971.642820,136,1910924,398811.795200,0
2025-03-03,0.23285,0.25767,0.208,0.21076,794877,1741046399999,179397.380700,68,58452,13223.100310,0
2025-03-04,0.2109,0.25548,0.17409,0.19511,966927,1741132799999,199662.059990,305,22773,4383.924250,0
2025-03-05,0.19511,0.26522,0.17409,0.21123,1751162,1741219199999,370497.561600,416,1244255,263579.345220,0
2025-03-06,0.21123,0.2358,0.17409,0.19,2962646,1741305599999,592982.033950,277,1278731,271445.184930,0
2025-03-07,0.19,0.24185,0.19,0.19,953194,1741391999999,201438.017920,114,264610,61192.050220,0
2025-03-08,0.19,0.19866,0.19,0.194,2030290,1741478399999,393780.431570,95,26983,5259.796190,0
2025-03-09,0.194,0.223,0.19,0.192,7708698,1741564799999,1476019.956370,130,138407,26519.561260,0
