timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-10,101.0,122.8,101.0,101.0,8648.704,1733875199999,929634.47200,92,4298.547,490002.20180,0
2024-12-11,101.0,122.8,101.0,113.0,12187.48,1733961599999,1369108.70660,104,10636.516,1211989.47480,0
2024-12-12,113.0,113.0,112.9,113.0,19607.084,1734047999999,2215600.27080,72,19604.872,2215350.53600,0
2024-12-13,113.0,137.0,101.0,130.0,43155.544,1734134399999,5276874.96970,94,32692.808,4089505.16920,0
2024-12-14,130.0,130.0,106.8,126.7,7075.051,1734220799999,901425.80150,100,6918.202,884670.06590,0
2024-12-15,126.7,126.8,101.0,125.0,9485.859,1734307199999,1175526.49730,99,7754.382,980713.45330,0
2024-12-16,116.0,126.8,101.0,126.8,8378.006,1734393599999,1024300.68580,172,6656.876,833576.49730,0
2024-12-17,126.8,126.8,101.0,117.9,3685.865,1734479999999,446419.30310,199,3239.406,396297.69660,0
2024-12-18,117.9,126.8,101.0,101.0,9143.483,1734566399999,1047510.64440,230,5253.176,638914.37140,0
2024-12-19,101.0,111.8,101.0,109.0,29972.539,1734652799999,3028221.12310,194,41.957,4544.25100,0
2024-12-20,109.0,109.0,101.0,101.1,22481.0,1734739199999,2271600.19770,157,0.980,99.96000,0
2024-12-21,101.1,113.0,101.0,101.0,4164.235,1734825599999,420901.26990,102,0,0,0
2024-12-22,108.5,108.6,101.0,101.0,75352.487,1734911999999,7624777.88850,120,0,0,0
2024-12-23,101.0,134.4,101.0,101.0,89939.144,1734998399999,10621585.89460,114,28612.543,3753293.22220,0
2024-12-24,101.1,128.0,101.0,101.0,711.575,1735084799999,76590.76110,28,105.370,11609.89600,0
2024-12-25,101.0,101.0,101.0,101.0,2081.679,1735171199999,210249.57900,35,0,0,0
2024-12-26,101.0,106.8,101.0,101.0,2343.014,1735257599999,236733.12040,34,0,0,0
2024-12-27,101.0,114.3,101.0,101.0,2559.291,1735343999999,265176.43320,61,502.142,57394.83060,0
2024-12-28,101.0,102.0,87.1,87.1,38291.228,1735430399999,3831369.13660,181,9154.483,910871.05850,0
2024-12-29,99.5,99.5,87.1,99.5,16904.046,1735516799999,1672879.05440,155,13731.611,1364326.27400,0
2024-12-30,87.1,99.5,87.1,99.5,8155.108,1735603199999,810907.55990,93,8107.549,806688.12550,0
2024-12-31,99.5,101.0,87.1,101.0,9760.911,1735689599999,956392.57500,215,8320.614,830565.62630,0
2025-01-01,101.0,105.0,87.1,97.9,2668.479,1735775999999,244801.00710,23,1425.406,136475.33800,0
2025-01-02,97.9,117.9,87.1,100.0,3164.981,1735862399999,329059.47660,51,51.006,5103.08100,0
2025-01-03,100.0,105.3,87.1,100.0,12235.42,1735948799999,1203115.38940,70,8547.288,854728.80000,0
2025-01-04,100.0,100.0,100.0,100.0,10358.007,1736035199999,1035800.70000,115,10358.007,1035800.70000,0
2025-01-05,100.0,100.0,100.0,100.0,8114.788,1736121599999,811478.80000,41,8114.788,811478.80000,0
2025-01-06,100.0,131.6,99.0,115.2,25201.845,1736207999999,2687318.28870,95,19879.051,2084684.68090,0
2025-01-07,107.8,115.2,90.0,110.9,3357.332,1736294399999,348003.21130,90,1784.554,193233.76900,0
2025-01-08,112.0,112.0,90.0,102.1,3779.859,1736380799999,382281.95540,88,588.828,55230.68810,0
2025-01-09,102.1,114.2,90.1,101.4,3774.144,1736467199999,386717.75620,52,660.853,69882.45740,0
2025-01-10,113.2,124.0,90.1,105.0,15228.836,1736553599999,1664464.78160,102,13066.747,1445815.12120,0
2025-01-11,105.0,113.3,105.0,112.5,900.1,1736639999999,94518.53540,40,0,0,0
2025-01-12,114.4,114.4,105.0,105.0,599.845,1736726399999,63913.08960,15,0,0,0
2025-01-13,105.0,112.0,90.1,90.1,7201.483,1736812799999,728106.49750,68,1391.179,155057.41700,0
2025-01-14,90.1,104.4,90.1,104.3,1192.515,1736899199999,108848.16420,27,88.523,9117.44990,0
2025-01-15,104.3,104.3,94.0,94.5,84.877,1736985599999,8723.55150,10,20.762,2108.63600,0
2025-01-16,117.9,139.8,112.0,139.8,14565.633,1737071999999,1929453.02310,51,11644.443,1579025.07960,0
2025-01-17,139.8,149.9,114.8,149.9,8036.514,1737158399999,1121867.24190,103,7312.312,1034372.46630,0
2025-01-18,149.9,149.9,118.0,118.0,3919.833,1737244799999,470630.50610,57,253.037,37930.24630,0
2025-01-19,118.0,121.1,100.0,120.0,9850.922,1737331199999,1164193.80110,157,7763.866,931620.44500,0
2025-01-20,120.0,129.1,100.0,120.0,5871.734,1737417599999,700341.23470,89,3382.467,409525.18470,0
2025-01-21,120.0,134.0,120.0,121.0,3342.002,1737503999999,404453.66600,54,2.669,345.29570,0
2025-01-22,121.0,121.0,113.0,120.0,2286.994,1737590399999,273928.05680,79,0.319,36.79940,0
2025-01-23,120.0,121.7,100.0,113.9,6263.996,1737676799999,758800.19620,75,1889.824,229787.59960,0
