timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-09 18:00:00,232.0,232.0,232.0,232.0,30,1733770799999,6960.0000,1,0,0,0
2024-12-09 19:00:00,233.0,233.0,233.0,233.0,135,1733774399999,31455.0000,1,0,0,0
2024-12-09 20:00:00,233.0,233.0,232.1,232.1,1849,1733777999999,429206.9000,9,0,0,0
2024-12-09 21:00:00,232.1,232.1,207.0,220.0,13888,1733781599999,3014913.2000,81,10,2200.0000,0
2024-12-09 22:00:00,220.0,220.0,207.0,220.0,96,1733785199999,20080.0000,7,18,3934.0000,0
2024-12-09 23:00:00,220.0,220.0,200.0,200.0,39,1733788799999,8375.0000,5,25,5500.0000,0
2024-12-10 00:00:00,200.0,220.0,200.0,220.0,90,1733792399999,19700.0000,3,85,18700.0000,0
2024-12-10 01:00:00,220.0,220.0,220.0,220.0,59,1733795999999,12980.0000,5,0,0,0
2024-12-10 02:00:00,220.0,220.0,220.0,220.0,14,1733799599999,3080.0000,1,0,0,0
2024-12-10 03:00:00,220.0,220.0,220.0,220.0,0,1733803199999,0,0,0,0,0
2024-12-10 04:00:00,220.0,220.0,220.0,220.0,28,1733806799999,6160.0000,2,0,0,0
2024-12-10 05:00:00,235.0,235.0,220.0,220.0,37,1733810399999,8592.0000,4,0,0,0
2024-12-10 06:00:00,220.0,220.0,220.0,220.0,15,1733813999999,3300.0000,2,0,0,0
2024-12-10 07:00:00,225.7,229.8,215.0,215.0,691,1733817599999,151973.6000,16,8,1823.6000,0
2024-12-10 08:00:00,218.0,218.0,200.2,200.2,329,1733821199999,67066.4000,16,37,7955.0000,0
2024-12-10 09:00:00,240.0,240.0,230.0,230.0,252,1733824799999,60260.0000,12,230,55200.0000,0
2024-12-10 10:00:00,240.0,240.0,230.0,240.0,27,1733828399999,6440.0000,8,23,5520.0000,0
2024-12-10 11:00:00,230.0,230.0,230.0,230.0,561,1733831999999,129030.0000,1,0,0,0
2024-12-10 12:00:00,230.0,230.0,216.7,216.7,819,1733835599999,178413.7000,8,0,0,0
2024-12-10 13:00:00,216.7,216.7,216.7,216.7,0,1733839199999,0,0,0,0,0
2024-12-10 14:00:00,216.7,216.7,216.7,216.7,0,1733842799999,0,0,0,0,0
2024-12-10 15:00:00,216.7,224.0,200.3,200.3,1222,1733846399999,249007.3000,7,12,2688.0000,0
2024-12-10 16:00:00,200.3,229.4,200.3,229.4,1314,1733849999999,280001.6000,10,577,132363.8000,0
